ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test
0.05,42.0,0.00040054673192325605,0.000520354570512992,0.0005402078306485793,0.0005369823572066696,4.972403162448411e-05,5.490252448631668e-05,5.5259139538830524e-05,5.5723059971788225e-05
0.05,0.0,0.00040054673192325605,0.0005226572997450194,0.0005384652247432612,0.0005501859686073491,4.972403162448411e-05,5.528328204317311e-05,5.474876018656039e-05,5.6322960503884145e-05
0.05,1.0,0.0004005467319232561,0.0005248666750892619,0.0005318682166731288,0.000549871032262423,4.9724031624484105e-05,5.5013833094811795e-05,5.543827190905855e-05,5.5912643975960145e-05
0.05,2.0,0.0004005467319232561,0.000541296959339403,0.0005262047474808453,0.0005047894475123662,4.972403162448411e-05,5.533649448933951e-05,5.563155358411926e-05,5.4621137372449066e-05
0.05,100.0,0.00040054673192325605,0.0005341398279425612,0.0005178028975802051,0.0005293710678226278,4.9724031624484105e-05,5.5203137761574e-05,5.485221830974873e-05,5.5416452883307285e-05
0.1,42.0,0.00040054673192325605,0.0005197010932984979,0.0005414525491523779,0.000535917549835647,4.9724031624484105e-05,5.48377175611634e-05,5.5383460896920376e-05,5.556234887014484e-05
0.1,0.0,0.00040054673192325605,0.0005232174230717288,0.0005385274606684511,0.0005509313337670648,4.9724031624484105e-05,5.527026122307722e-05,5.470277208589993e-05,5.6233335693408464e-05
0.1,1.0,0.00040054673192325605,0.000522999597333564,0.0005340464740547764,0.000553858012556773,4.9724031624484105e-05,5.4928021525215536e-05,5.5479857315143995e-05,5.60138322641336e-05
0.1,2.0,0.00040054673192325605,0.0005420126724790872,0.0005253334445281864,0.0005045713488096172,4.9724031624484105e-05,5.5330807314624305e-05,5.548411853937088e-05,5.469919084439762e-05
0.1,100.0,0.00040054673192325605,0.0005341398279425612,0.0005178028975802051,0.0005293710678226278,4.9724031624484105e-05,5.5203137761574e-05,5.485221830974873e-05,5.5416452883307285e-05
0.15,42.0,0.00043395653377855336,0.0005538063803025786,0.0005730061632236716,0.0005695654627599594,4.972403162448411e-05,5.432461699914264e-05,5.455228781001299e-05,5.504714837136004e-05
0.15,0.0,0.00043395653377855336,0.000555268924544542,0.0005728194554481018,0.0005839403622687637,4.972403162448411e-05,5.456070901467857e-05,5.42465071989895e-05,5.5607042290392886e-05
0.15,1.0,0.00043395653377855336,0.0005580073052528988,0.0005659735036772096,0.0005842033625748804,4.972403162448411e-05,5.436769465452829e-05,5.470205722111485e-05,5.521815332254988e-05
0.15,2.0,0.00043395653377855336,0.0005750599487549391,0.0005599988548589765,0.0005360866113568357,4.972403162448411e-05,5.4739955679715654e-05,5.499549960906856e-05,5.398001923292547e-05
0.15,100.0,0.00043395653377855336,0.000569116417899301,0.0005515970049583362,0.0005629905087237584,4.972403162448411e-05,5.463578934333088e-05,5.421411601469247e-05,5.495449035741748e-05
0.2,42.0,0.00043395653377855336,0.0005549888628811871,0.0005741886458022801,0.0005692460205486527,4.972403162448411e-05,5.428266900033644e-05,5.473830688984256e-05,5.48674316099796e-05
0.2,0.0,0.00043395653377855336,0.0005577272435895442,0.0005741264098770903,0.0005848986889026842,4.972403162448411e-05,5.4637318947929176e-05,5.4271524220972095e-05,5.5696224135528534e-05
0.2,1.0,0.00043395653377855336,0.0005569181765620751,0.0005705789621412644,0.0005880795934166095,4.972403162448411e-05,5.4404608673929004e-05,5.480312879507127e-05,5.54775216624496e-05
0.2,2.0,0.00043395653377855336,0.0005767714366976622,0.0005599366189337865,0.0005397942893035672,4.972403162448411e-05,5.47281065958893e-05,5.4886788580435105e-05,5.427090569142498e-05
0.2,100.0,0.00043395653377855336,0.000569116417899301,0.0005515970049583362,0.0005629905087237584,4.972403162448411e-05,5.463578934333088e-05,5.421411601469247e-05,5.495449035741748e-05
0.25,42.0,0.0004673663356338508,0.0005862624152891264,0.0006052443724720545,0.0006010837609422266,4.972403162448411e-05,5.375628244301048e-05,5.407353872161186e-05,5.440889656876754e-05
0.25,0.0,0.00046736633563385067,0.0005873826619425451,0.0006073603939285121,0.0006185466018269965,4.972403162448411e-05,5.405771822329641e-05,5.3887348270400563e-05,5.5058063243534474e-05
0.25,1.0,0.00046736633563385067,0.000590930109678371,0.00060038997030724,0.0006160992049296795,4.972403162448411e-05,5.379132675744131e-05,5.432856519840272e-05,5.4608001420227146e-05
0.25,2.0,0.0004673663356338508,0.0006080761070681964,0.0005947265011149566,0.0005692376141746709,4.972403162448411e-05,5.4241225371008075e-05,5.467109002944298e-05,5.334662113392854e-05
0.25,100.0,0.0004673663356338508,0.0006024437558385078,0.0005844575734586184,0.0005993124770285171,4.972403162448411e-05,5.415762894337326e-05,5.374560347377679e-05,5.464219860465083e-05
0.3,42.0,0.0004673663356338508,0.0005880672571196342,0.0006071114502277522,0.0006052365096892147,4.972403162448411e-05,5.3870982677524596e-05,5.4243363175997395e-05,5.4517944462104275e-05
0.3,0.0,0.0004673663356338508,0.0005905566941272314,0.000607484865778892,0.0006193984477238146,4.972403162448411e-05,5.416969966451688e-05,5.3810204261198235e-05,5.519793491716268e-05
0.3,1.0,0.0004673663356338508,0.0005904944582020415,0.0006025682276888875,0.0006229656709921711,4.972403162448411e-05,5.393074027328992e-05,5.4312312233645024e-05,5.500259398253388e-05
0.3,2.0,0.0004673663356338508,0.0006105033081506034,0.0005932950748355882,0.0005731633908241514,4.972403162448411e-05,5.429220054909069e-05,5.438851091027594e-05,5.3937468153837964e-05
0.3,100.0,0.0004673663356338508,0.0006024437558385078,0.0005844575734586184,0.0005993124770285171,4.972403162448411e-05,5.415762894337326e-05,5.374560347377679e-05,5.464219860465083e-05
