ptb_rate,seed,label_homophily_macro,label_homophily_micro,sens_homophily_macro,sens_homophily_micro
0.05,42.0,0.6053557294872922,0.6082061501748627,0.8378330841614634,0.8380236741090819
0.05,0.0,0.6046869504045023,0.6068593948833423,0.8378033767147379,0.8382312137036151
0.05,1.0,0.6048889669095059,0.6076223671836449,0.837180725006583,0.8369573127363592
0.05,2.0,0.6040330375186714,0.6063743579103724,0.8375362446182234,0.8377850023484604
0.05,100.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.1,42.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.1,0.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.1,1.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.1,2.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.1,100.0,0.6043738449353164,0.6070882556728713,0.8380709319721904,0.8386261540256388
0.15,42.0,0.6059847086738729,0.6063670922872935,0.8864575094472273,0.8842597297648325
0.15,0.0,0.6050772626931568,0.6062262738948286,0.8882560706401766,0.886660056589304
0.15,1.0,0.6064733707077785,0.6071741053401805,0.8852049754730204,0.8833170606917291
0.15,2.0,0.6057895664434262,0.6068881636812928,0.887513218188227,0.8859564923309219
0.15,100.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.2,42.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.2,0.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.2,1.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.2,2.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.2,100.0,0.6059359131500612,0.6075804061373479,0.8850026265102434,0.8829862900080275
0.25,42.0,0.6071224444932952,0.6067461864221132,0.9354583424928555,0.9326152923332168
0.25,0.0,0.6077582398162057,0.6067634235743198,0.9376159759653618,0.9345224027906182
0.25,1.0,0.6079405557509673,0.6076423124141681,0.9354994723883222,0.932496694838497
0.25,2.0,0.6053968113765844,0.6054983794009069,0.9375082807048536,0.9348411368087252
0.25,100.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
0.3,42.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
0.3,0.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
0.3,1.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
0.3,2.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
0.3,100.0,0.6053357865685373,0.6037498874694697,0.9339378805800149,0.9306943211842634
