ptb_rate,seed,label_homophily_macro,label_homophily_micro,sens_homophily_macro,sens_homophily_micro
0.05,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.05,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.05,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.05,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.05,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.1,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.1,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.1,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.1,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.1,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.15,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.15,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.15,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.15,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.15,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.2,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.2,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.2,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.2,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.2,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.25,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.25,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.25,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.25,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.25,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.3,42.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.3,0.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.3,1.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.3,2.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
0.3,100.0,0.5520463218844585,0.5411510671929096,0.7286219081272085,0.7159345521402204
