ptb_rate,seed,label_homophily_macro,label_homophily_micro,sens_homophily_macro,sens_homophily_micro
0.05,42.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.05,0.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.05,1.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.05,2.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.05,100.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.1,42.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.1,0.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.1,1.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.1,2.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.1,100.0,0.5523587350959046,0.540881761821438,0.7256775538568451,0.7087300424517377
0.15,42.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.15,0.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.15,1.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.15,2.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.15,100.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.2,42.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.2,0.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.2,1.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.2,2.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.2,100.0,0.5460048426150121,0.534657361463368,0.715547703180212,0.6958826481063513
0.25,42.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.25,0.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.25,1.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.25,2.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.25,100.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.3,42.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.3,0.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.3,1.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.3,2.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
0.3,100.0,0.5403726708074534,0.5281488503570045,0.7054488610987047,0.6852595282887224
