ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test,closeness_centrality,closeness_centrality_train,closeness_centrality_val,closeness_centrality_test,betweeness_centrality,betweeness_centrality_train,betweeness_centrality_val,betweeness_centrality_test
0.05,42.0,0.13794486215538845,0.15377152558816395,0.13686814438694136,0.13582032003084635,0.0024999999999999996,0.0026306399447441307,0.002483525563911035,0.0024835593573013376,0.5223213220893992,0.5300727716790735,0.13686814438694136,0.5247069679117494,0.0023280248359592443,0.0029460231626976044,0.0022774662068030223,0.001898010063255125
0.05,0.0,0.13786967418546364,0.14157975584121593,0.15177554275298638,0.14584538268748798,0.0024999999999999996,0.0025205549987364303,0.0025940035456578216,0.0025824997443497553,0.520840669276891,0.5243513302406144,0.15177554275298638,0.5256574008904485,0.002345467941209808,0.0024575945691515037,0.0026909203005525267,0.002561601413042096
0.05,1.0,0.13827067669172932,0.14966448379012046,0.14432184356996386,0.13790887475098002,0.0024999999999999996,0.0025943369366836573,0.002555753539874307,0.0024776202835062907,0.5224580091184653,0.5293404687412321,0.14432184356996386,0.5248544628132658,0.0023268598632259037,0.002624633865193564,0.002893252152217503,0.0019325497651790917
0.05,2.0,0.1380200501253133,0.15677904438515644,0.136282264101813,0.13074352548036755,0.0025,0.002630922732547106,0.0025166148163938192,0.0024383610323168866,0.5219107164500605,0.5313529382232368,0.136282264101813,0.5221575198303428,0.0023326847268926084,0.002902109688914172,0.0023431601679024653,0.0019423876435143612
0.05,100.0,0.1381704260651629,0.13944538766270512,0.13651010643491845,0.16602403444508704,0.0024999999999999996,0.002519300586836079,0.0024842912922809096,0.00270091726261437,0.5216431530069292,0.5229498387858149,0.13651010643491845,0.5363607533554593,0.002336148159343081,0.002394959537960504,0.0018960656612328024,0.0034432817086069464
0.1,42.0,0.1381704260651629,0.15365833939687928,0.13826774729030367,0.1360452413083992,0.0024999999999999996,0.002627628539335552,0.002487409323118027,0.0024825721214364674,0.5216431530069292,0.5288650729074602,0.13826774729030367,0.5242114165108152,0.002336148159343081,0.0029548585390489447,0.0023235789864075873,0.0019086295136432707
0.1,0.0,0.1381704260651629,0.14206483951815022,0.15167789603879825,0.14584538268748798,0.0024999999999999996,0.002524288219282031,0.0025966034495418355,0.0025801336839193193,0.5216431530069292,0.5248298947773875,0.15167789603879825,0.5263887751955943,0.002336148159343081,0.0024356839509959622,0.0026648034444177165,0.0026034728198154797
0.1,1.0,0.1381704260651629,0.14953512814293798,0.14474497933144545,0.13784461152882208,0.0024999999999999996,0.0025927911769664715,0.002563076446071437,0.002477103181690248,0.5216431530069292,0.5289889873307151,0.14474497933144545,0.5238344449839656,0.002336148159343081,0.0026812492039636018,0.0028952428542245007,0.0018880055279551404
0.1,2.0,0.1381704260651629,0.1566173498261783,0.1372261823389643,0.1311933680354733,0.0024999999999999996,0.0026291057208066206,0.0025290804793978313,0.0024384997860318444,0.5216431530069292,0.5313748662367299,0.1372261823389643,0.5217363323398401,0.002336148159343081,0.002937829563631641,0.0022744871166800623,0.0019909316310625204
0.1,100.0,0.1381704260651629,0.13944538766270512,0.13651010643491845,0.16602403444508704,0.0024999999999999996,0.002519300586836079,0.0024842912922809096,0.00270091726261437,0.5216431530069292,0.5229498387858149,0.13651010643491845,0.5363607533554593,0.002336148159343081,0.002394959537960504,0.0018960656612328024,0.0034432817086069464
