ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test
0.05,42.0,0.00040054673192325605,0.0005173672461038755,0.0005386519325188309,0.0005317648010886591,4.972403162448411e-05,5.4123328486320525e-05,5.458698320225875e-05,5.469094852136751e-05
0.05,0.0,0.00040054673192325605,0.0005205101603259669,0.0005354156644089547,0.0005483757960766107,4.972403162448411e-05,5.447321812902022e-05,5.40684999886939e-05,5.527488037041202e-05
0.05,1.0,0.00040054673192325605,0.0005213503453160309,0.0005296277233662913,0.000547877542115248,4.972403162448411e-05,5.419861778232983e-05,5.457308282802479e-05,5.516094063349345e-05
0.05,2.0,0.00040054673192325605,0.000537873983453957,0.0005235908386228683,0.0005026084604848771,4.972403162448411e-05,5.45377846717647e-05,5.475012425164756e-05,5.3811544061727165e-05
0.05,100.0,0.00040054673192325605,0.0005313703292716094,0.0005164337072260266,0.0005234255075346464,4.972403162448411e-05,5.439293000308229e-05,5.4314566050305894e-05,5.434461976151616e-05
0.1,42.0,0.00040054673192325605,0.0005173672461038755,0.0005386519325188309,0.0005317648010886591,4.972403162448411e-05,5.4123328486320525e-05,5.458698320225875e-05,5.469094852136751e-05
0.1,0.0,0.00040054673192325605,0.0005205101603259669,0.0005354156644089547,0.0005483757960766107,4.972403162448411e-05,5.447321812902022e-05,5.40684999886939e-05,5.527488037041202e-05
0.1,1.0,0.00040054673192325605,0.0005213503453160309,0.0005296277233662913,0.000547877542115248,4.972403162448411e-05,5.419861778232983e-05,5.457308282802479e-05,5.516094063349345e-05
0.1,2.0,0.00040054673192325605,0.000537873983453957,0.0005235908386228683,0.0005026084604848771,4.972403162448411e-05,5.45377846717647e-05,5.475012425164756e-05,5.3811544061727165e-05
0.1,100.0,0.00040054673192325605,0.0005313703292716094,0.0005164337072260266,0.0005234255075346464,4.972403162448411e-05,5.439293000308229e-05,5.4314566050305894e-05,5.434461976151616e-05
0.15,42.0,0.0004339515885740159,0.0005538374982651736,0.0005755578361564586,0.0005689265783373459,4.9724031624484105e-05,5.4325964705917275e-05,5.485398799477319e-05,5.517109218246187e-05
0.15,0.0,0.0004339515885740159,0.0005573538280384046,0.0005719481524954428,0.0005848986889026842,4.9724031624484105e-05,5.47543423235114e-05,5.438555881741058e-05,5.5494917237563444e-05
0.15,1.0,0.0004339515885740159,0.0005577272435895441,0.0005667825707046787,0.0005855323560063306,4.9724031624484105e-05,5.4438897095171406e-05,5.4908092004790386e-05,5.544828805294441e-05
0.15,2.0,0.0004339515885740159,0.0005751221846801291,0.0005599366189337865,0.0005387037957898227,4.9724031624484105e-05,5.478610640435013e-05,5.493096052844472e-05,5.438377026046809e-05
0.15,100.0,0.0004339515885740159,0.0005679650532832874,0.0005527172516117549,0.0005614770933777269,4.9724031624484105e-05,5.4630045183929986e-05,5.4458188202479445e-05,5.4912422309979954e-05
0.2,42.0,0.0004339515885740159,0.0005538374982651736,0.0005755578361564586,0.0005689265783373459,4.9724031624484105e-05,5.4325964705917275e-05,5.485398799477319e-05,5.517109218246187e-05
0.2,0.0,0.0004339515885740159,0.0005573538280384046,0.0005719481524954428,0.0005848986889026842,4.9724031624484105e-05,5.47543423235114e-05,5.438555881741058e-05,5.5494917237563444e-05
0.2,1.0,0.0004339515885740159,0.0005577272435895441,0.0005667825707046787,0.0005855323560063306,4.9724031624484105e-05,5.4438897095171406e-05,5.4908092004790386e-05,5.544828805294441e-05
0.2,2.0,0.0004339515885740159,0.0005751221846801291,0.0005599366189337865,0.0005387037957898227,4.9724031624484105e-05,5.478610640435013e-05,5.493096052844472e-05,5.438377026046809e-05
0.2,100.0,0.0004339515885740159,0.0005679650532832874,0.0005527172516117549,0.0005614770933777269,4.9724031624484105e-05,5.4630045183929986e-05,5.4458188202479445e-05,5.4912422309979954e-05
0.25,42.0,0.0004673663356338508,0.0005804433562838679,0.0006010123295591394,0.0005946949167160915,4.972403162448411e-05,5.2972993234237255e-05,5.3347730701065785e-05,5.35245084210273e-05
0.25,0.0,0.0004673663356338508,0.0005836485064311493,0.0005978382973744529,0.0006109864694927363,4.972403162448411e-05,5.329621435210899e-05,5.292600692558398e-05,5.398931029435674e-05
0.25,1.0,0.0004673663356338508,0.0005845509273464033,0.0005918636485562199,0.0006116692268248464,4.972403162448411e-05,5.308964924767441e-05,5.323553890247388e-05,5.402532562298261e-05
0.25,2.0,0.0004673663356338508,0.0006002966164194552,0.0005860757075135566,0.0005668385284444328,4.972403162448411e-05,5.3362188088597616e-05,5.345144642293152e-05,5.2823909957458964e-05
0.25,100.0,0.0004673663356338508,0.0005944775574141969,0.0005784206887151954,0.0005878537608371349,4.972403162448411e-05,5.31500547691549e-05,5.3115462557310694e-05,5.3443555078530106e-05
0.3,42.0,0.0004673663356338508,0.0005804433562838679,0.0006010123295591394,0.0005946949167160915,4.972403162448411e-05,5.2972993234237255e-05,5.3347730701065785e-05,5.35245084210273e-05
0.3,0.0,0.0004673663356338508,0.0005836485064311493,0.0005978382973744529,0.0006109864694927363,4.972403162448411e-05,5.329621435210899e-05,5.292600692558398e-05,5.398931029435674e-05
0.3,1.0,0.0004673663356338508,0.0005845509273464033,0.0005918636485562199,0.0006116692268248464,4.972403162448411e-05,5.308964924767441e-05,5.323553890247388e-05,5.402532562298261e-05
0.3,2.0,0.0004673663356338508,0.0006002966164194552,0.0005860757075135566,0.0005668385284444328,4.972403162448411e-05,5.3362188088597616e-05,5.345144642293152e-05,5.2823909957458964e-05
0.3,100.0,0.0004673663356338508,0.0005944775574141969,0.0005784206887151954,0.0005878537608371349,4.972403162448411e-05,5.31500547691549e-05,5.3115462557310694e-05,5.3443555078530106e-05
