ptb_rate,seed,community_label_correlation,community_sens_correlation,seed_comm
0.05,42,0.012110413407299842,0.24032237499615747,42
0.05,42,0.011372800788185429,0.16069771686544795,0
0.05,42,0.00616098638128303,0.21563662699796096,1
0.05,42,0.006770274474125021,0.21576845295213284,2
0.05,42,0.010638134416031635,0.19631832741876962,100
0.05,0,0.009503917028855368,0.18077078167060098,42
0.05,0,0.017546096557835244,0.03240220815331593,0
0.05,0,0.010265716292083893,0.16789099435570015,1
0.05,0,0.010688361363706003,0.18975236977330448,2
0.05,0,0.008458110217496677,0.15801511627767095,100
0.05,1,0.009320216084671639,0.20950649312136138,42
0.05,1,0.00861827442122432,0.1471770115697746,0
0.05,1,0.0092628655242693,0.2241595644757033,1
0.05,1,0.010818093989611555,0.25880746274785693,2
0.05,1,0.009789962563739278,0.18901374780225946,100
0.05,2,0.012699420906738547,0.25676576141051305,42
0.05,2,0.009706360006361135,0.15199396249165517,0
0.05,2,0.011133876120906066,0.17003796719040515,1
0.05,2,0.007602813676261924,0.20855879854377007,2
0.05,2,0.010029745939813985,0.176593541804534,100
0.05,100,0.010870684456291788,0.17513630004804584,42
0.05,100,0.010834189136176543,0.23253183321455254,0
0.05,100,0.008499896505580471,0.20309338467699248,1
0.05,100,0.007467792281726189,0.2052047340808964,2
0.05,100,0.008642070842618314,0.19438222092290763,100
0.1,42,0.010870684456291788,0.17513630004804584,42
0.1,42,0.010834189136176543,0.23253183321455254,0
0.1,42,0.008499896505580471,0.20309338467699248,1
0.1,42,0.007467792281726189,0.2052047340808964,2
0.1,42,0.008642070842618314,0.19438222092290763,100
0.1,0,0.010870684456291788,0.17513630004804584,42
0.1,0,0.010834189136176543,0.23253183321455254,0
0.1,0,0.008499896505580471,0.20309338467699248,1
0.1,0,0.007467792281726189,0.2052047340808964,2
0.1,0,0.008642070842618314,0.19438222092290763,100
0.1,1,0.010870684456291788,0.17513630004804584,42
0.1,1,0.010834189136176543,0.23253183321455254,0
0.1,1,0.008499896505580471,0.20309338467699248,1
0.1,1,0.007467792281726189,0.2052047340808964,2
0.1,1,0.008642070842618314,0.19438222092290763,100
0.1,2,0.010870684456291788,0.17513630004804584,42
0.1,2,0.010834189136176543,0.23253183321455254,0
0.1,2,0.008499896505580471,0.20309338467699248,1
0.1,2,0.007467792281726189,0.2052047340808964,2
0.1,2,0.008642070842618314,0.19438222092290763,100
0.1,100,0.010870684456291788,0.17513630004804584,42
