ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test,closeness_centrality,closeness_centrality_train,closeness_centrality_val,closeness_centrality_test,betweeness_centrality,betweeness_centrality_train,betweeness_centrality_val,betweeness_centrality_test
0.05,42.0,0.13794486215538845,0.15299539170506912,0.1377144159099046,0.13511342458710876,0.0024999999999999996,0.0026237470310708595,0.0024943391842046124,0.0024738639960883908,0.5224223890241422,0.5299368447650353,0.1377144159099046,0.5242155984558925,0.0023275840354655478,0.002880426099338005,0.0023665110981347056,0.0019320306171182616
0.05,0.0,0.13785714285714284,0.14154741692942033,0.15005045080233048,0.14539554013238226,0.0025,0.0025269319461311652,0.002588871623766025,0.0025760370161943464,0.5223777352560719,0.525536260872743,0.15005045080233048,0.5264162204512797,0.0023284026649538414,0.0024523242405794657,0.0026581451577153384,0.002505521543508168
0.05,1.0,0.13827067669172932,0.14922790848087963,0.1439312567132116,0.1369449264186106,0.0024999999999999996,0.002594094590890515,0.0025549418893667133,0.00246461261287989,0.523097344788803,0.5298427399679165,0.1439312567132116,0.5249623203000865,0.002320058941323157,0.0026499258195908544,0.0028342091464837473,0.0018742394439425064
0.05,2.0,0.1380200501253133,0.15692456948823671,0.13533834586466165,0.12965105070368224,0.0024999999999999996,0.0026411641514126967,0.00250243218785712,0.0024340823917108293,0.5226758867353226,0.5321376498345503,0.13533834586466165,0.5223258085584245,0.0023249077467538187,0.0029364388274679986,0.002256664848795772,0.0018980046995138587
0.05,100.0,0.1381704260651629,0.13929986255962487,0.1359567750545194,0.16538140222350745,0.0024999999999999996,0.0025101985928997956,0.002491019458823973,0.0027025074833853273,0.5230049369493291,0.5243993559326238,0.1359567750545194,0.5367084850337367,0.0023209720280600995,0.0023785705241762913,0.0019169626252218414,0.003307490687643713
0.1,42.0,0.1381704260651629,0.15291454442558006,0.1377144159099046,0.13659147869674182,0.0024999999999999996,0.002617252198192705,0.002497421294941792,0.0024834529936228525,0.5230049369493291,0.5300648651119327,0.1377144159099046,0.5258503484711705,0.0023209720280600995,0.0028689634253560147,0.002352697404494761,0.0019028435378120234
0.1,0.0,0.1381704260651629,0.14227504244482175,0.15024574423070663,0.14536340852130328,0.0024999999999999996,0.0025297903993642405,0.0025850295109224267,0.002570770252442123,0.5230049369493291,0.5263282424946844,0.15024574423070663,0.5271712489619917,0.0023209720280600995,0.0024276983013992457,0.002631483691721726,0.0025045044364892396
0.1,1.0,0.1381704260651629,0.14932492521626645,0.14406145233212903,0.1374590321958743,0.0024999999999999996,0.0025970531161931217,0.0025512310452870442,0.0024704723132811988,0.5230049369493291,0.5297311542098995,0.14406145233212903,0.5249924442244964,0.0023209720280600995,0.002621620969442905,0.002839117012350054,0.001914173933474514
0.1,2.0,0.1381704260651629,0.15700541676772575,0.13673794876802395,0.12942612942612944,0.0024999999999999996,0.002638138616236571,0.002502559864132448,0.002436875242026959,0.5230049369493291,0.5321496141239641,0.13673794876802395,0.522167716304006,0.0023209720280600995,0.002912532998155961,0.002250029174778842,0.0019176149468393823
0.1,100.0,0.1381704260651629,0.13929986255962487,0.1359567750545194,0.16538140222350745,0.0024999999999999996,0.0025101985928997956,0.002491019458823973,0.0027025074833853273,0.5230049369493291,0.5243993559326238,0.1359567750545194,0.5367084850337367,0.0023209720280600995,0.0023785705241762913,0.0019169626252218414,0.003307490687643713
0.15,42.0,0.1381453634085213,0.15124909046810578,0.13693324219640007,0.1344707923655292,0.0024999999999999996,0.0026074874337395798,0.0024941005665702,0.002472432460431864,0.526504085320835,0.5324487654291398,0.13693324219640007,0.5275028888501984,0.002281362955126509,0.0027731443304881056,0.0023221890542138505,0.0018943973412846587
0.15,0.0,0.13765664160401003,0.13889562616217963,0.1487159457084269,0.14359616991195936,0.0024999999999999996,0.002512391205076373,0.0025921980166066067,0.002555268119756113,0.5265098376843825,0.5279917605645178,0.1487159457084269,0.5293864373718514,0.002281174040629211,0.0023285763740489183,0.0025807956315649846,0.0024871881241903915
0.15,1.0,0.13862155388471176,0.147416929420325,0.14318263190443645,0.13742690058479537,0.0025,0.002588392281373338,0.002529224021467434,0.002473566654921615,0.5270002472777989,0.532169404583107,0.14318263190443645,0.528073649712395,0.0022766400926940464,0.0025430638781368583,0.0027478404742777777,0.0019235107789027657
0.15,2.0,0.1388847117794486,0.15490338750101063,0.1363473619112717,0.1299402352033931,0.0024999999999999996,0.0026027440282321533,0.0025080130262874695,0.002442089604119667,0.5267786919223829,0.5345190301426426,0.1363473619112717,0.5256161798694742,0.0022782773516706336,0.0027873803255949532,0.0022144949358452143,0.0019518438881846612
0.15,100.0,0.1382456140350877,0.13727868057239875,0.13602187286397813,0.16271447850395218,0.0024999999999999996,0.002504485538833859,0.0024793897715659403,0.002685981835032267,0.526101418149314,0.5265338301462688,0.13602187286397813,0.5379240497582206,0.0022860228460598727,0.0023417272496404277,0.0018676093921259048,0.0032106451660234383
0.2,42.0,0.1382456140350877,0.15149163230657287,0.13605442176870747,0.13443866075445024,0.0024999999999999996,0.0026149034865563477,0.002484268678096622,0.002461745197854725,0.526101418149314,0.532127188387332,0.13605442176870747,0.5271627891003003,0.0022860228460598727,0.002824136349053128,0.002301714994157428,0.0018234715536465686
0.2,0.0,0.1382456140350877,0.14017301317810657,0.14920417927936724,0.1439496176338282,0.0024999999999999996,0.002518292792886523,0.0025771975528436565,0.0025619905076406375,0.526101418149314,0.5282153506131874,0.14920417927936724,0.5289766123049789,0.0022860228460598727,0.0023728373228127774,0.002549180927866214,0.0024759904276424383
0.2,1.0,0.1382456140350877,0.14710970975826662,0.1429547895713309,0.13633442580811,0.0024999999999999996,0.002577937979828229,0.0025450278614649034,0.002475222075079094,0.526101418149314,0.5317553538093381,0.1429547895713309,0.5274511994706942,0.0022860228460598727,0.002554574656830334,0.002747384403794471,0.0019191833197040149
0.2,2.0,0.1382456140350877,0.15394938960303986,0.13576148162614327,0.12984384037015617,0.0024999999999999996,0.002610544194599939,0.0025130905756471306,0.0024419555073656764,0.526101418149314,0.5336128699832954,0.13576148162614327,0.5251108655035895,0.0022860228460598727,0.0027609611846318442,0.002333871430897784,0.0019172677697528713
0.2,100.0,0.1382456140350877,0.13727868057239875,0.13602187286397813,0.16271447850395218,0.0024999999999999996,0.002504485538833859,0.0024793897715659403,0.002685981835032267,0.526101418149314,0.5265338301462688,0.13602187286397813,0.5379240497582206,0.0022860228460598727,0.0023417272496404277,0.0018676093921259048,0.0032106451660234383
0.25,42.0,0.13844611528822054,0.15000404236397444,0.13400384077075808,0.1349527665317139,0.0024999999999999996,0.0026056266384566536,0.0024630774703672475,0.002475576748096773,0.5292369843553176,0.533650375733811,0.13400384077075808,0.5297541740612082,0.002251608921801992,0.0027193281917646784,0.0021074687808110065,0.0019154167942744573
0.25,0.0,0.13728070175438595,0.13750505295496804,0.14666536471047747,0.14202172096908938,0.0024999999999999996,0.002506486321032479,0.002562380018671063,0.0025475589061017814,0.5291857322092652,0.5297133300407911,0.14666536471047747,0.5317959862341128,0.0022513885215551437,0.0022533739799105983,0.0024663688446505006,0.0024416850850914554
0.25,1.0,0.138922305764411,0.14534723906540545,0.1417830290010741,0.1371377160850845,0.0024999999999999996,0.0025604137660538793,0.0025154851817238495,0.0024853838292470025,0.5299802360833407,0.5334969332462333,0.1417830290010741,0.5302285856852467,0.0022438949131623025,0.002403861980207778,0.002598686714209018,0.0019728751381095674
0.25,2.0,0.13904761904761903,0.1521060716306896,0.13566383491195522,0.12920120814857655,0.0024999999999999996,0.0025906165223972357,0.00248961756018262,0.0024294295184709297,0.5298205974349856,0.5356821439509657,0.13566383491195522,0.5270104554246772,0.0022450284001460934,0.0026748665766947806,0.0021627952990005547,0.0018580790386262332
0.25,100.0,0.13908521303258145,0.13698763036623815,0.13712853562477623,0.16059379217273956,0.0024999999999999996,0.002489700178805268,0.0024921244993425613,0.002664681470799075,0.5296098746721651,0.5289360661812461,0.13712853562477623,0.5389003974229798,0.002248145489351519,0.002239160218907493,0.0019231437644576064,0.00302622109281918
0.3,42.0,0.13908521303258145,0.1495674670547336,0.13738892686261106,0.13533834586466165,0.0024999999999999996,0.0025850483890852956,0.0025038623726190774,0.0024636200754696394,0.5296098746721651,0.5342357128762871,0.13738892686261106,0.5295874167931884,0.002248145489351519,0.0026351767523576162,0.0023002974902675256,0.0018669467393302968
0.3,0.0,0.13908521303258145,0.1393645403832161,0.14865084789896815,0.14449585502217077,0.0024999999999999996,0.0025043922447633743,0.0025795412079113304,0.0025491897171670014,0.5296098746721651,0.5300252843547653,0.14865084789896815,0.5329329700842954,0.002248145489351519,0.0022440855061827344,0.0025076236147890214,0.0024394471440604445
0.3,1.0,0.13908521303258145,0.14660845662543454,0.1426618494287667,0.13601310969732022,0.0024999999999999996,0.0025710719186929775,0.002525428270955114,0.002470104418276492,0.5296098746721651,0.5332206988303838,0.1426618494287667,0.5301117822442948,0.002248145489351519,0.0024365500053049145,0.0026486036943137318,0.0019178129967868463
0.3,2.0,0.13908521303258145,0.15420810089740478,0.13432932981805165,0.12913694492641858,0.0024999999999999996,0.0026082519575096586,0.002482720617321034,0.002438381127420576,0.5296098746721651,0.536104696681462,0.13432932981805165,0.5275464826227584,0.002248145489351519,0.0026848557675102553,0.0022131074147417767,0.0018542978735203424
0.3,100.0,0.13908521303258145,0.13698763036623815,0.13712853562477623,0.16059379217273956,0.0024999999999999996,0.002489700178805268,0.0024921244993425613,0.002664681470799075,0.5296098746721651,0.5289360661812461,0.13712853562477623,0.5389003974229798,0.002248145489351519,0.002239160218907493,0.0019231437644576064,0.00302622109281918
