ptb_rate,seed,label_homophily_macro,label_homophily_micro,sens_homophily_macro,sens_homophily_micro
0.05,42.0,0.5311601150527325,0.5192810987889721,0.7301962209302325,0.7183223708615623
0.05,0.0,0.5315241228070176,0.5177930059172787,0.7282974275065903,0.7169854692474678
0.05,1.0,0.5316438356164384,0.5174184701699195,0.728747507703462,0.7165500622316097
0.05,2.0,0.5313784598520143,0.519560111349295,0.7295260577446886,0.7178055842539021
0.05,100.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.1,42.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.1,0.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.1,1.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.1,2.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.1,100.0,0.5309299467431381,0.5166979654414727,0.7275530564121168,0.7133933029300152
0.15,42.0,0.48154955464442245,0.4615995679804121,0.7204281567489115,0.7037479575989878
0.15,0.0,0.4803194523673702,0.4594477354648661,0.7214383249886208,0.7082918422649377
0.15,1.0,0.4821554521089011,0.46287363168461276,0.722744530826252,0.7063131646592091
0.15,2.0,0.48389365592910394,0.4637985446893731,0.7235405576107552,0.7097374495479443
0.15,100.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.2,42.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.2,0.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.2,1.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.2,2.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.2,100.0,0.4808209483368719,0.45940801375837303,0.7241660623640319,0.7090814985002456
0.25,42.0,0.42471942865471507,0.40171491066946136,0.7129797248370746,0.6953704878164342
0.25,0.0,0.4281910959917172,0.40669175079653347,0.7153811045184847,0.7011765187572016
0.25,1.0,0.42903084344394093,0.40762585843619675,0.7107162186541583,0.6936660587609002
0.25,2.0,0.4321366024518389,0.4095311193636874,0.7160237923576064,0.7001356735201076
0.25,100.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
0.3,42.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
0.3,0.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
0.3,1.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
0.3,2.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
0.3,100.0,0.4282188996951662,0.4018842209629913,0.7125867195242814,0.695494047472096
