ptb_rate,seed,degree_centrality,degree_centrality_train,degree_centrality_val,degree_centrality_test,pagerank,pagerank_train,pagerank_val,pagerank_test,closeness_centrality,closeness_centrality_train,closeness_centrality_val,closeness_centrality_test,betweeness_centrality,betweeness_centrality_train,betweeness_centrality_val,betweeness_centrality_test
0.05,42.0,0.14185463659147868,0.15786239793030965,0.1417830290010741,0.1397725081935608,0.0025,0.0026311068163013336,0.002495854331638246,0.002483146974601843,0.527983556610667,0.5350916237542984,0.1417830290010741,0.5296770233434603,0.002270531857281394,0.002866419352238201,0.0023288557598762035,0.0018104778952329446
0.05,0.0,0.14185463659147868,0.14620422022798932,0.15538847117794483,0.1495083863504916,0.0025,0.002534594759628402,0.00259435883029605,0.002577692133417914,0.527983556610667,0.5307408474841001,0.15538847117794483,0.5320201951950231,0.002270531857281394,0.002415965595644117,0.0025531778121306186,0.0024841642317520863
0.05,1.0,0.14185463659147868,0.15391705069124426,0.14826026104221587,0.1412184306921149,0.0025,0.002606107935979978,0.002551563972971637,0.0024778288216164464,0.527983556610667,0.534241443812113,0.14826026104221587,0.5293813456186494,0.002270531857281394,0.002609511807547962,0.0027711853032727656,0.0018843406463284796
0.05,2.0,0.14185463659147868,0.16148435605141884,0.14057871952608794,0.13376389692179166,0.0025,0.002645072369342746,0.002515903141029851,0.002435603140697068,0.527983556610667,0.5368790987962957,0.14057871952608794,0.5271312703403704,0.002270531857281394,0.0028693709217685304,0.0022567790639458096,0.0018757652325334488
0.05,100.0,0.14185463659147868,0.1432290403427925,0.13983009471731275,0.170779512884776,0.0025,0.002516137284388766,0.002484021702577267,0.002723292998757528,0.527983556610667,0.5289730366864489,0.13983009471731275,0.5414335689235442,0.002270531857281394,0.0023521668569014666,0.0018060650545778138,0.003348478165555635
0.1,42.0,0.14185463659147868,0.15786239793030965,0.1417830290010741,0.1397725081935608,0.0025,0.0026311068163013336,0.002495854331638246,0.002483146974601843,0.527983556610667,0.5350916237542984,0.1417830290010741,0.5296770233434603,0.002270531857281394,0.002866419352238201,0.0023288557598762035,0.0018104778952329446
0.1,0.0,0.14185463659147868,0.14620422022798932,0.15538847117794483,0.1495083863504916,0.0025,0.002534594759628402,0.00259435883029605,0.002577692133417914,0.527983556610667,0.5307408474841001,0.15538847117794483,0.5320201951950231,0.002270531857281394,0.002415965595644117,0.0025531778121306186,0.0024841642317520863
0.1,1.0,0.14185463659147868,0.15391705069124426,0.14826026104221587,0.1412184306921149,0.0025,0.002606107935979978,0.002551563972971637,0.0024778288216164464,0.527983556610667,0.534241443812113,0.14826026104221587,0.5293813456186494,0.002270531857281394,0.002609511807547962,0.0027711853032727656,0.0018843406463284796
0.1,2.0,0.14185463659147868,0.16148435605141884,0.14057871952608794,0.13376389692179166,0.0025,0.002645072369342746,0.002515903141029851,0.002435603140697068,0.527983556610667,0.5368790987962957,0.14057871952608794,0.5271312703403704,0.002270531857281394,0.0028693709217685304,0.0022567790639458096,0.0018757652325334488
0.1,100.0,0.14185463659147868,0.1432290403427925,0.13983009471731275,0.170779512884776,0.0025,0.002516137284388766,0.002484021702577267,0.002723292998757528,0.527983556610667,0.5289730366864489,0.13983009471731275,0.5414335689235442,0.002270531857281394,0.0023521668569014666,0.0018060650545778138,0.003348478165555635
0.15,42.0,0.14185463659147868,0.15786239793030965,0.1417830290010741,0.1397725081935608,0.0025,0.0026311068163013336,0.002495854331638246,0.002483146974601843,0.527983556610667,0.5350916237542984,0.1417830290010741,0.5296770233434603,0.002270531857281394,0.002866419352238201,0.0023288557598762035,0.0018104778952329446
0.15,0.0,0.14185463659147868,0.14620422022798932,0.15538847117794483,0.1495083863504916,0.0025,0.002534594759628402,0.00259435883029605,0.002577692133417914,0.527983556610667,0.5307408474841001,0.15538847117794483,0.5320201951950231,0.002270531857281394,0.002415965595644117,0.0025531778121306186,0.0024841642317520863
0.15,1.0,0.14185463659147868,0.15391705069124426,0.14826026104221587,0.1412184306921149,0.0025,0.002606107935979978,0.002551563972971637,0.0024778288216164464,0.527983556610667,0.534241443812113,0.14826026104221587,0.5293813456186494,0.002270531857281394,0.002609511807547962,0.0027711853032727656,0.0018843406463284796
0.15,2.0,0.14185463659147868,0.16148435605141884,0.14057871952608794,0.13376389692179166,0.0025,0.002645072369342746,0.002515903141029851,0.002435603140697068,0.527983556610667,0.5368790987962957,0.14057871952608794,0.5271312703403704,0.002270531857281394,0.0028693709217685304,0.0022567790639458096,0.0018757652325334488
0.15,100.0,0.14185463659147868,0.1432290403427925,0.13983009471731275,0.170779512884776,0.0025,0.002516137284388766,0.002484021702577267,0.002723292998757528,0.527983556610667,0.5289730366864489,0.13983009471731275,0.5414335689235442,0.002270531857281394,0.0023521668569014666,0.0018060650545778138,0.003348478165555635
0.2,42.0,0.14185463659147868,0.15786239793030965,0.1417830290010741,0.1397725081935608,0.0025,0.0026311068163013336,0.002495854331638246,0.002483146974601843,0.527983556610667,0.5350916237542984,0.1417830290010741,0.5296770233434603,0.002270531857281394,0.002866419352238201,0.0023288557598762035,0.0018104778952329446
0.2,0.0,0.14185463659147868,0.14620422022798932,0.15538847117794483,0.1495083863504916,0.0025,0.002534594759628402,0.00259435883029605,0.002577692133417914,0.527983556610667,0.5307408474841001,0.15538847117794483,0.5320201951950231,0.002270531857281394,0.002415965595644117,0.0025531778121306186,0.0024841642317520863
0.2,1.0,0.14185463659147868,0.15391705069124426,0.14826026104221587,0.1412184306921149,0.0025,0.002606107935979978,0.002551563972971637,0.0024778288216164464,0.527983556610667,0.534241443812113,0.14826026104221587,0.5293813456186494,0.002270531857281394,0.002609511807547962,0.0027711853032727656,0.0018843406463284796
0.2,2.0,0.14185463659147868,0.16148435605141884,0.14057871952608794,0.13376389692179166,0.0025,0.002645072369342746,0.002515903141029851,0.002435603140697068,0.527983556610667,0.5368790987962957,0.14057871952608794,0.5271312703403704,0.002270531857281394,0.0028693709217685304,0.0022567790639458096,0.0018757652325334488
0.2,100.0,0.14185463659147868,0.1432290403427925,0.13983009471731275,0.170779512884776,0.0025,0.002516137284388766,0.002484021702577267,0.002723292998757528,0.527983556610667,0.5289730366864489,0.13983009471731275,0.5414335689235442,0.002270531857281394,0.0023521668569014666,0.0018060650545778138,0.003348478165555635
0.25,42.0,0.14185463659147868,0.15786239793030965,0.1417830290010741,0.1397725081935608,0.0025,0.0026311068163013336,0.002495854331638246,0.002483146974601843,0.527983556610667,0.5350916237542984,0.1417830290010741,0.5296770233434603,0.002270531857281394,0.002866419352238201,0.0023288557598762035,0.0018104778952329446
0.25,0.0,0.14185463659147868,0.14620422022798932,0.15538847117794483,0.1495083863504916,0.0025,0.002534594759628402,0.00259435883029605,0.002577692133417914,0.527983556610667,0.5307408474841001,0.15538847117794483,0.5320201951950231,0.002270531857281394,0.002415965595644117,0.0025531778121306186,0.0024841642317520863
